age,work,edu,free_time,health,chores,category_else
1,0.75,0.0,0.25,1.0,0.5,0.0
2,0.75,0.0,0.25,1.0,0.5,0.0
3,0.75,0.0,0.25,1.0,0.5,0.0
4,0.75,0.0,0.25,1.0,0.5,0.0
5,0.75,0.0,0.25,1.0,0.5,0.0
6,0.75,0.0,0.25,1.0,0.5,0.0
7,0.75,0.0,0.25,1.0,0.5,0.0
8,0.75,0.0,0.25,1.0,0.5,0.0
9,0.75,0.0,0.25,1.0,0.5,0.0
10,0.75,0.0,0.25,1.0,0.5,0.0
11,0.75,0.0,0.25,1.0,0.5,0.0
12,0.75,0.0,0.25,1.0,0.5,0.0
13,0.75,0.0,0.25,1.0,0.5,0.0
14,0.75,0.0,0.25,1.0,0.5,0.0
15,0.25,1.0,0.75,0.5,0.25,0.25
16,0.25,1.0,0.75,0.5,0.25,0.25
17,0.25,1.0,0.75,0.5,0.25,0.25
18,0.25,1.0,0.75,0.5,0.25,0.25
19,0.25,1.0,0.75,0.5,0.25,0.25
20,0.4772727272727273,0.5454545454545454,0.7045454545454546,0.6136363636363636,0.0681818181818181,0.0
21,0.4772727272727273,0.5454545454545454,0.7045454545454546,0.6136363636363636,0.0681818181818181,0.0
22,0.4772727272727273,0.5454545454545454,0.7045454545454546,0.6136363636363636,0.0681818181818181,0.0
23,0.4772727272727273,0.5454545454545454,0.7045454545454546,0.6136363636363636,0.0681818181818181,0.0
24,0.4772727272727273,0.5454545454545454,0.7045454545454546,0.6136363636363636,0.0681818181818181,0.0
25,0.5729166666666666,0.5,0.53125,0.6770833333333334,0.1145833333333333,0.0
26,0.5729166666666666,0.5,0.53125,0.6770833333333334,0.1145833333333333,0.0
27,0.5729166666666666,0.5,0.53125,0.6770833333333334,0.1145833333333333,0.0
28,0.5729166666666666,0.5,0.53125,0.6770833333333334,0.1145833333333333,0.0
29,0.5729166666666666,0.5,0.53125,0.6770833333333334,0.1145833333333333,0.0
30,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
31,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
32,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
33,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
34,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
35,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
36,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
37,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
38,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
39,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
40,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
41,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
42,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
43,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
44,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
45,0.7894736842105263,0.3289473684210526,0.3552631578947368,0.6052631578947368,0.3289473684210526,0.0
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
